Generator,Suite,gen-PPL↓,H↑ (nats),MAUVE↑,GradMoment↓,EnergyDist↓,FMTyp-p↑,Rep-1↓,Rep-2↓,Rep-3↓,Rep-4↓
owt_ar_base,paper,40.19,5.6078,0.9187,0.3827,0.43250,0.4606,0.3931,0.0561,0.0132,0.0079
owt_data_train,paper,17.15,5.4767,1.0000,0.0000,0.00000,0.4821,0.4368,0.0829,0.0257,0.0150
owt_duo_base_1024_nfe,paper,102.13,5.4522,0.6451,8.2723,0.80086,0.3975,0.4053,0.0422,0.0034,0.0006
owt_flm_1024_nfe,paper,96.28,5.4000,0.3634,15.7654,2.19127,0.3423,0.4194,0.0447,0.0026,0.0002
owt_fmlm_1_nfe,paper,241.67,5.3304,0.0163,64.5677,3.37974,0.2609,0.4331,0.0435,0.0011,0.0000
owt_fmlm_32_nfe,paper,61.04,5.2203,0.4021,26.7531,2.60824,0.3673,0.4853,0.0742,0.0056,0.0006
owt_fmlm_4_nfe,paper,181.20,5.4561,0.1973,34.7498,2.75551,0.3171,0.4057,0.0437,0.0014,0.0001
owt_mdlm_1024_nfe,paper,48.34,5.3134,0.7835,4.9768,1.19977,0.3911,0.4661,0.0677,0.0081,0.0016
owt_sedd_1024_nfe,paper,125.68,5.6542,0.8709,5.1297,0.83831,0.4407,0.3710,0.0378,0.0029,0.0006
owt_v2_duo_base_1024_nfe,v2,101.01,5.4553,0.7401,8.0347,0.75391,0.3927,0.4036,0.0425,0.0039,0.0009
owt_v2_duo_base_128_nfe,v2,106.79,5.4798,0.7456,9.1590,0.87797,0.3959,0.4090,0.0405,0.0030,0.0005
owt_v2_duo_base_32_nfe,v2,130.23,5.5083,0.6663,11.4601,1.23267,0.4063,0.4018,0.0364,0.0021,0.0003
owt_v2_duo_base_512_nfe,v2,102.63,5.4566,0.7062,8.4486,0.82836,0.3984,0.4052,0.0419,0.0034,0.0007
owt_v2_duo_base_8_nfe,v2,266.23,5.5297,0.0927,25.4412,2.81987,0.2612,0.3783,0.0257,0.0007,0.0001
owt_v2_duo_distilled_16_nfe,v2,88.96,5.4724,0.7404,13.6456,0.92390,0.4716,0.4158,0.0468,0.0031,0.0004
owt_v2_duo_distilled_32_nfe,v2,72.18,5.4498,0.8953,9.4703,0.57109,0.4569,0.4214,0.0530,0.0049,0.0010
owt_v2_duo_distilled_8_nfe,v2,130.29,5.4575,0.4363,23.8685,1.80350,0.3850,0.4077,0.0397,0.0019,0.0002
owt_v2_flm_1024_nfe,v2,96.89,5.4037,0.4044,15.7353,2.14540,0.3538,0.4173,0.0437,0.0026,0.0002
owt_v2_flm_128_nfe,v2,172.15,5.6619,0.5742,9.3039,1.95735,0.3696,0.3882,0.0330,0.0015,0.0001
owt_v2_flm_32_nfe,v2,451.10,5.9152,0.1039,10.8547,3.04221,0.1693,0.3107,0.0157,0.0005,0.0000
owt_v2_flm_512_nfe,v2,109.92,5.4699,0.4956,13.3826,2.00714,0.3715,0.4128,0.0418,0.0023,0.0002
owt_v2_flm_8_nfe,v2,1061.20,5.9068,0.0131,43.5621,5.31091,0.0534,0.2159,0.0050,0.0002,0.0000
owt_v2_fmlm_16_nfe,v2,94.42,5.3513,0.3598,26.0150,2.31021,0.3960,0.4459,0.0587,0.0032,0.0003
owt_v2_fmlm_1_nfe,v2,241.64,5.3311,0.0133,65.3395,3.43288,0.2644,0.4328,0.0432,0.0010,0.0001
owt_v2_fmlm_32_nfe,v2,60.66,5.2144,0.3604,26.9355,2.60343,0.3660,0.4845,0.0747,0.0056,0.0006
owt_v2_fmlm_4_nfe,v2,179.76,5.4546,0.1150,34.9218,2.76440,0.3242,0.4053,0.0441,0.0014,0.0001
owt_v2_fmlm_8_nfe,v2,137.99,5.4308,0.2809,28.5987,2.44059,0.3576,0.4176,0.0493,0.0020,0.0002
owt_v2_mdlm_1024_nfe,v2,48.66,5.3172,0.7331,4.8400,1.16670,0.3844,0.4649,0.0668,0.0077,0.0015
owt_v2_mdlm_128_nfe,v2,95.34,5.5821,0.8992,5.0993,0.56519,0.5403,0.3994,0.0432,0.0036,0.0006
owt_v2_mdlm_32_nfe,v2,194.99,5.7289,0.7252,7.2489,1.51199,0.4239,0.3565,0.0302,0.0016,0.0002
owt_v2_mdlm_512_nfe,v2,60.82,5.4219,0.8566,4.5454,0.62267,0.4742,0.4423,0.0582,0.0061,0.0012
owt_v2_mdlm_8_nfe,v2,923.60,5.9203,0.0329,14.5314,4.31096,0.1299,0.2966,0.0150,0.0003,0.0001
owt_v2_sedd_1024_nfe,v2,126.24,5.6601,0.8728,5.1960,0.84728,0.4400,0.3689,0.0374,0.0031,0.0007
owt_v2_sedd_128_nfe,v2,144.49,5.6916,0.9088,5.9744,1.09795,0.4559,0.3633,0.0343,0.0024,0.0005
owt_v2_sedd_32_nfe,v2,223.60,5.7604,0.6797,8.1896,1.92223,0.3647,0.3430,0.0276,0.0015,0.0003
owt_v2_sedd_512_nfe,v2,127.82,5.6545,0.8547,5.1613,0.90001,0.4379,0.3700,0.0376,0.0030,0.0006
owt_v2_sedd_8_nfe,v2,880.17,5.9050,0.0429,15.4727,4.45413,0.1246,0.2983,0.0147,0.0003,0.0000
owt_mirror_5000,owt_L1024_naive,—,—,—,—,—,0.0082,—,—,—,—
owt_periodic_k_400,owt_L1024_naive,—,—,—,—,—,0.0029,—,—,—,—
owt_phrase_bank_5000,owt_L1024_naive,—,—,—,—,—,0.0307,—,—,—,—
owt_topk_iid_k64,owt_L1024_naive,—,—,—,—,—,0.0000,—,—,—,—
