Generator,Suite,gen-PPL↓,H↑ (nats),MAUVE↑,GradMoment↓,EnergyDist↓,FMTyp-p↑,Rep-1↓,Rep-2↓,Rep-3↓,Rep-4↓
owt_ar_base,paper,40.19,5.6078,0.9187,0.3827,0.43250,0.4606,0.3931,0.0561,0.0132,0.0079
owt_data_train,paper,17.15,5.4767,1.0000,0.0000,0.00000,0.4821,0.4368,0.0829,0.0257,0.0150
owt_duo_base_1024_nfe,paper,102.13,5.4522,0.6451,8.2723,0.80086,0.3975,0.4053,0.0422,0.0034,0.0006
owt_flm_1024_nfe,paper,96.28,5.4000,0.3634,15.7654,2.19127,0.3423,0.4194,0.0447,0.0026,0.0002
owt_fmlm_1_nfe,paper,241.67,5.3304,0.0163,64.5677,3.37974,0.2609,0.4331,0.0435,0.0011,0.0000
owt_fmlm_32_nfe,paper,61.04,5.2203,0.4021,26.7531,2.60824,0.3673,0.4853,0.0742,0.0056,0.0006
owt_fmlm_4_nfe,paper,181.20,5.4561,0.1973,34.7498,2.75551,0.3171,0.4057,0.0437,0.0014,0.0001
owt_mdlm_1024_nfe,paper,48.34,5.3134,0.7835,4.9768,1.19977,0.3911,0.4661,0.0677,0.0081,0.0016
owt_sedd_1024_nfe,paper,125.68,5.6542,0.8709,5.1297,0.83831,0.4407,0.3710,0.0378,0.0029,0.0006
owt_mirror_5000,owt_L1024_naive,—,—,—,—,—,0.0082,—,—,—,—
owt_periodic_k_400,owt_L1024_naive,—,—,—,—,—,0.0029,—,—,—,—
owt_phrase_bank_5000,owt_L1024_naive,—,—,—,—,—,0.0307,—,—,—,—
owt_topk_iid_k64,owt_L1024_naive,—,—,—,—,—,0.0000,—,—,—,—
